INFO  - 2016-02-15 01:31:00.993; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-02-15 01:31:01.021; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-02-15 01:31:41.318; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={wt=javabin&version=2} {delete=[https://en.wikipedia.org/w/opensearch_desc.php (-1526202264520228864)]} 0 61
INFO  - 2016-02-15 01:31:41.340; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-02-15 01:31:41.460; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_9,generation=9}
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/shreejit/RA/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_a,generation=10}
INFO  - 2016-02-15 01:31:41.461; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 10
INFO  - 2016-02-15 01:31:41.463; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-02-15 01:31:41.464; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-02-15 01:31:41.465; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&waitFlush=true&version=2} {commit=} 0 125
